go.id	term
GO:0060213	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening
GO:0060214	endocardium formation
GO:2001256	regulation of store-operated calcium entry
GO:0060215	primitive hemopoiesis
GO:2001257	regulation of cation channel activity
GO:0060216	definitive hemopoiesis
GO:2001258	negative regulation of cation channel activity
GO:0060217	hemangioblast cell differentiation
GO:0060218	hematopoietic stem cell differentiation
GO:0060219	camera-type eye photoreceptor cell differentiation
GO:0035281	pre-miRNA export from nucleus
GO:0035282	segmentation
GO:0035283	central nervous system segmentation
GO:0050881	musculoskeletal movement
GO:0035284	brain segmentation
GO:0035285	appendage segmentation
GO:0035286	obsolete leg segmentation
GO:0050896	response to stimulus
GO:0050893	sensory processing
GO:0050894	determination of affect
GO:0050899	nitrile catabolic process
GO:0050898	nitrile metabolic process
GO:0035277	spiracle morphogenesis, open tracheal system
GO:0035278	miRNA-mediated gene silencing by inhibition of translation
GO:0035279	miRNA-mediated gene silencing by mRNA destabilization
GO:2001266	Roundabout signaling pathway involved in axon guidance
GO:2001267	regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:2001268	negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:0060206	estrous cycle phase
GO:0060207	diestrus
GO:0060208	proestrus
GO:0035270	endocrine system development
GO:0060209	estrus
GO:0035271	ring gland development
GO:0050891	multicellular organismal-level water homeostasis
GO:0035272	exocrine system development
GO:0050892	intestinal absorption
GO:0050890	cognition
GO:2001075	negative regulation of metanephric ureteric bud development
GO:2001076	positive regulation of metanephric ureteric bud development
GO:2001086	obsolete laminarabiose transport
GO:2001097	laminaritriose transport
GO:2001098	tetrasaccharide transport
GO:2001099	maltotetraose transport
GO:2001094	xylotriose transport
GO:2001095	mannotriose transport
GO:2001096	cellotriose transport
GO:0035408	obsolete histone H3-T6 phosphorylation
GO:0035409	obsolete histone H3-Y41 phosphorylation
GO:0098961	dendritic transport of ribonucleoprotein complex
GO:0098962	regulation of postsynaptic neurotransmitter receptor activity
GO:0060350	endochondral bone morphogenesis
GO:0060351	cartilage development involved in endochondral bone morphogenesis
GO:0060352	cell adhesion molecule production
GO:0060353	regulation of cell adhesion molecule production
GO:0060354	negative regulation of cell adhesion molecule production
GO:0060355	positive regulation of cell adhesion molecule production
GO:0060357	regulation of leucine import
GO:0060358	negative regulation of leucine import
GO:0098969	neurotransmitter receptor transport to postsynaptic membrane
GO:0098967	exocytic insertion of neurotransmitter receptor to postsynaptic membrane
GO:0098968	neurotransmitter receptor transport postsynaptic membrane to endosome
GO:0098963	dendritic transport of messenger ribonucleoprotein complex
GO:0098964	anterograde dendritic transport of messenger ribonucleoprotein complex
GO:0098972	anterograde dendritic transport of mitochondrion
GO:0098970	postsynaptic neurotransmitter receptor diffusion trapping
GO:0098971	anterograde dendritic transport of neurotransmitter receptor complex
GO:1902546	positive regulation of DNA N-glycosylase activity
GO:1902547	regulation of cellular response to vascular endothelial growth factor stimulus
GO:1902544	regulation of DNA N-glycosylase activity
GO:1902545	negative regulation of DNA N-glycosylase activity
GO:0060340	positive regulation of type I interferon-mediated signaling pathway
GO:0060341	regulation of cellular localization
GO:0060343	trabecula formation
GO:1902550	lymphoid lineage cell migration into thymus involved in thymus epithelium morphogenesis
GO:0060344	liver trabecula formation
GO:0060345	spleen trabecula formation
GO:0060346	bone trabecula formation
GO:0060347	heart trabecula formation
GO:0060348	bone development
GO:0060349	bone morphogenesis
GO:0098976	excitatory chemical synaptic transmission
GO:0098977	inhibitory chemical synaptic transmission
GO:0098974	postsynaptic actin cytoskeleton organization
GO:0098940	anterograde trans-synaptic signaling by nitric oxide
GO:0060370	susceptibility to T cell mediated cytotoxicity
GO:0060371	regulation of atrial cardiac muscle cell membrane depolarization
GO:1902553	positive regulation of catalase activity
GO:0060372	regulation of atrial cardiac muscle cell membrane repolarization
GO:0060373	regulation of ventricular cardiac muscle cell membrane depolarization
GO:1902551	regulation of catalase activity
GO:0060374	mast cell differentiation
GO:1902552	negative regulation of catalase activity
GO:0060375	regulation of mast cell differentiation
GO:0060376	positive regulation of mast cell differentiation
GO:1902561	origin recognition complex assembly
GO:0060377	negative regulation of mast cell differentiation
GO:0060378	regulation of brood size
GO:0060379	cardiac muscle cell myoblast differentiation
GO:0098943	neurotransmitter receptor transport, postsynaptic endosome to lysosome
GO:0098941	anterograde trans-synaptic signaling by trans-synaptic protein complex
GO:0098942	retrograde trans-synaptic signaling by trans-synaptic protein complex
GO:1902566	regulation of eosinophil activation
GO:2001107	negative regulation of Rho guanyl-nucleotide exchange factor activity
GO:0060360	negative regulation of leucine import in response to ammonium ion
GO:1902564	negative regulation of neutrophil activation
GO:2001109	regulation of lens epithelial cell proliferation
GO:0060361	flight
GO:1902565	positive regulation of neutrophil activation
GO:0060362	flight involved in flight behavior
GO:0060363	cranial suture morphogenesis
GO:1902563	regulation of neutrophil activation
GO:0060364	frontal suture morphogenesis
GO:1902572	negative regulation of serine-type peptidase activity
GO:0060365	coronal suture morphogenesis
GO:0060366	lambdoid suture morphogenesis
GO:0060367	sagittal suture morphogenesis
GO:0035356	intracellular triglyceride homeostasis
GO:0035357	peroxisome proliferator activated receptor signaling pathway
GO:0060368	regulation of Fc receptor mediated stimulatory signaling pathway
GO:0060369	positive regulation of Fc receptor mediated stimulatory signaling pathway
GO:0035358	regulation of peroxisome proliferator activated receptor signaling pathway
GO:0098958	retrograde axonal transport of mitochondrion
GO:0098959	retrograde dendritic transport of mitochondrion
GO:0098957	anterograde axonal transport of mitochondrion
GO:0098953	receptor diffusion trapping
GO:1902579	obsolete multi-organism localization
GO:1902577	protein localization to medial cortical node
GO:0060391	positive regulation of SMAD protein signal transduction
GO:0060392	negative regulation of SMAD protein signal transduction
GO:1902575	protein localization to cell division site involved in cytokinesis, actomyosin contractile ring assembly
GO:0060393	regulation of pathway-restricted SMAD protein phosphorylation
GO:1902576	negative regulation of nuclear cell cycle DNA replication
GO:0060394	negative regulation of pathway-restricted SMAD protein phosphorylation
GO:1902573	positive regulation of serine-type peptidase activity
GO:0060395	SMAD protein signal transduction
GO:1902574	obsolete negative regulation of leucine import by regulation of transcription from RNA polymerase II promoter
GO:0060396	growth hormone receptor signaling pathway
GO:0035342	positive regulation of inosine transport
GO:0060397	growth hormone receptor signaling pathway via JAK-STAT
GO:0035343	negative regulation of inosine transport
GO:0060398	regulation of growth hormone receptor signaling pathway
GO:0060399	positive regulation of growth hormone receptor signaling pathway
GO:0035344	hypoxanthine transport
GO:0035345	regulation of hypoxanthine transport
GO:0035346	positive regulation of hypoxanthine transport
GO:0035347	negative regulation of hypoxanthine transport
GO:0035348	acetyl-CoA transmembrane transport
GO:0035340	inosine transport
GO:0035341	regulation of inosine transport
GO:1902588	obsolete multi-organism plasmodesmata-mediated intercellular transport
GO:0060380	regulation of single-stranded telomeric DNA binding
GO:0060381	positive regulation of single-stranded telomeric DNA binding
GO:1902586	obsolete multi-organism intercellular transport
GO:0060382	regulation of DNA strand elongation
GO:0060383	positive regulation of DNA strand elongation
GO:0060384	innervation
GO:0060385	axonogenesis involved in innervation
GO:0060386	synapse assembly involved in innervation
GO:0035331	negative regulation of hippo signaling
GO:0060389	pathway-restricted SMAD protein phosphorylation
GO:0035335	peptidyl-tyrosine dephosphorylation
GO:0035330	regulation of hippo signaling
GO:0035320	imaginal disc-derived wing hair site selection
GO:0035321	maintenance of imaginal disc-derived wing hair orientation
GO:0098989	NMDA selective glutamate receptor signaling pathway
GO:0098987	regulation of modification of synapse structure, modulating synaptic transmission
GO:0098994	disruption of host cell envelope during viral entry
GO:0098995	disruption by virus of host envelope lipopolysaccharide during virus entry
GO:0098990	AMPA selective glutamate receptor signaling pathway
GO:0098991	kainate selective glutamate receptor signaling pathway
GO:0035317	imaginal disc-derived wing hair organization
GO:0035318	imaginal disc-derived wing hair outgrowth
GO:0035319	imaginal disc-derived wing hair elongation
GO:0035310	notum cell fate specification
GO:0035311	wing cell fate specification
GO:0035313	wound healing, spreading of epidermal cells
GO:0035314	scab formation
GO:0035315	hair cell differentiation
GO:0035316	non-sensory hair organization
GO:0098996	disruption of host cell glycocalyx during viral entry
GO:0098997	fusion of virus membrane with host outer membrane
GO:0050940	regulation of late stripe melanocyte differentiation
GO:0050943	negative regulation of iridophore differentiation
GO:0050944	negative regulation of xanthophore differentiation
GO:0050941	negative regulation of pigment cell differentiation
GO:0050942	positive regulation of pigment cell differentiation
GO:0050947	negative regulation of early stripe melanocyte differentiation
GO:0050948	positive regulation of early stripe melanocyte differentiation
GO:0050945	positive regulation of iridophore differentiation
GO:0050946	positive regulation of xanthophore differentiation
GO:0050949	negative regulation of late stripe melanocyte differentiation
GO:2001154	regulation of glycolytic fermentation to ethanol
GO:2001151	regulation of renal water transport
GO:0050950	positive regulation of late stripe melanocyte differentiation
GO:0050951	sensory perception of temperature stimulus
GO:0050954	sensory perception of mechanical stimulus
GO:0050955	thermoception
GO:0050952	sensory perception of electrical stimulus
GO:0050953	sensory perception of light stimulus
GO:0050958	magnetoreception
GO:0050959	echolocation
GO:0050956	electroception
GO:0050957	equilibrioception
GO:0050961	detection of temperature stimulus involved in sensory perception
GO:0050962	detection of light stimulus involved in sensory perception
GO:0050960	detection of temperature stimulus involved in thermoception
GO:0050965	detection of temperature stimulus involved in sensory perception of pain
GO:0050966	detection of mechanical stimulus involved in sensory perception of pain
GO:0050963	detection of electrical stimulus involved in sensory perception
GO:0050964	detection of electrical stimulus involved in electroception
GO:0050969	detection of chemical stimulus involved in magnetoreception
GO:0050967	detection of electrical stimulus involved in sensory perception of pain
GO:0050968	detection of chemical stimulus involved in sensory perception of pain
GO:2001176	regulation of mediator complex assembly
GO:0050972	detection of mechanical stimulus involved in echolocation
GO:0050973	detection of mechanical stimulus involved in equilibrioception
GO:0050970	detection of electrical stimulus involved in magnetoreception
GO:0050971	detection of mechanical stimulus involved in magnetoreception
GO:0050976	detection of mechanical stimulus involved in sensory perception of touch
GO:0050977	magnetoreception by sensory perception of chemical stimulus
GO:0050974	detection of mechanical stimulus involved in sensory perception
GO:0050975	sensory perception of touch
GO:0050978	magnetoreception by sensory perception of electrical stimulus
GO:0050979	magnetoreception by sensory perception of mechanical stimulus
GO:2001185	regulation of CD8-positive, alpha-beta T cell activation
GO:2001186	negative regulation of CD8-positive, alpha-beta T cell activation
GO:2001187	positive regulation of CD8-positive, alpha-beta T cell activation
GO:0050984	peptidyl-serine sulfation
GO:0050981	detection of electrical stimulus
GO:0050982	detection of mechanical stimulus
GO:0050988	N-terminal peptidyl-methionine carboxylation
GO:0050985	peptidyl-threonine sulfation
GO:0050986	isopeptide cross-linking via N-(L-isoglutamyl)-glycine
GO:0050989	N-terminal protein amino acid carboxylation
GO:0060310	regulation of elastin catabolic process
GO:0060311	negative regulation of elastin catabolic process
GO:2001110	negative regulation of lens epithelial cell proliferation
GO:0060312	regulation of blood vessel remodeling
GO:2001112	regulation of cellular response to hepatocyte growth factor stimulus
GO:0060313	negative regulation of blood vessel remodeling
GO:0060314	regulation of ryanodine-sensitive calcium-release channel activity
GO:2001114	positive regulation of cellular response to hepatocyte growth factor stimulus
GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity
GO:0098927	vesicle-mediated transport between endosomal compartments
GO:0060316	positive regulation of ryanodine-sensitive calcium-release channel activity
GO:0098928	presynaptic signal transduction
GO:0098925	retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission
GO:0060317	cardiac epithelial to mesenchymal transition
GO:0098926	postsynaptic signal transduction
GO:0060318	definitive erythrocyte differentiation
GO:0060319	primitive erythrocyte differentiation
GO:0098923	retrograde trans-synaptic signaling by soluble gas
GO:0098924	retrograde trans-synaptic signaling by nitric oxide
GO:0098921	retrograde trans-synaptic signaling by endocannabinoid
GO:0050980	detection of light stimulus involved in magnetoreception
GO:0098920	retrograde trans-synaptic signaling by lipid
GO:0050994	regulation of lipid catabolic process
GO:0050995	negative regulation of lipid catabolic process
GO:0050992	dimethylallyl diphosphate biosynthetic process
GO:0050993	dimethylallyl diphosphate metabolic process
GO:0050999	regulation of nitric-oxide synthase activity
GO:0050996	positive regulation of lipid catabolic process
GO:2001120	methanofuran biosynthetic process
GO:2001121	coenzyme gamma-F420-2 biosynthetic process
GO:0060300	regulation of cytokine activity
GO:2001122	maltoheptaose metabolic process
GO:0060301	positive regulation of cytokine activity
GO:2001123	maltoheptaose catabolic process
GO:0060302	negative regulation of cytokine activity
GO:2001124	regulation of translational frameshifting
GO:2001125	negative regulation of translational frameshifting
GO:0060304	regulation of phosphatidylinositol dephosphorylation
GO:0098939	dendritic transport of mitochondrion
GO:0060305	regulation of cell diameter
GO:0060306	regulation of membrane repolarization
GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization
GO:0098937	anterograde dendritic transport
GO:0098934	retrograde dendritic transport
GO:0060309	elastin catabolic process
GO:0098935	dendritic transport
GO:0098932	disruption by virus of host cell wall peptidoglycan during virus entry
GO:0050990	N-terminal protein amino acid carbamoylation
GO:0098933	disruption by symbiont of host cell envelope
GO:0098930	axonal transport
GO:0098931	virion attachment to host cell flagellum
GO:2001139	negative regulation of phospholipid transport
GO:0060330	regulation of response to type II interferon
GO:0060331	negative regulation of response to type II interferon
GO:0060332	positive regulation of response to type II interferon
GO:0098909	regulation of cardiac muscle cell action potential involved in regulation of contraction
GO:0060333	type II interferon-mediated signaling pathway
GO:2001133	methane biosynthetic process from methanethiol
GO:0060334	regulation of type II interferon-mediated signaling pathway
GO:2001134	methane biosynthetic process from carbon monoxide
GO:0098907	regulation of SA node cell action potential
GO:0060335	positive regulation of type II interferon-mediated signaling pathway
GO:0098908	regulation of neuronal action potential
GO:0060336	negative regulation of type II interferon-mediated signaling pathway
GO:2001135	regulation of endocytic recycling
GO:0098905	regulation of bundle of His cell action potential
GO:2001136	negative regulation of endocytic recycling
GO:0060337	type I interferon-mediated signaling pathway
GO:0060338	regulation of type I interferon-mediated signaling pathway
GO:0098906	regulation of Purkinje myocyte action potential
GO:0060339	negative regulation of type I interferon-mediated signaling pathway
GO:0098903	regulation of membrane repolarization during action potential
GO:0098904	regulation of AV node cell action potential
GO:0098901	regulation of cardiac muscle cell action potential
GO:0098902	regulation of membrane depolarization during action potential
GO:0098900	regulation of action potential
GO:1902526	negative regulation of protein monoubiquitination
GO:2001149	negative regulation of dipeptide transmembrane transport
GO:0060320	rejection of self pollen
GO:0060321	acceptance of pollen
GO:0060322	head development
GO:0060323	head morphogenesis
GO:0060324	face development
GO:0060325	face morphogenesis
GO:0098916	anterograde trans-synaptic signaling
GO:0060326	cell chemotaxis
GO:0098917	retrograde trans-synaptic signaling
GO:2001148	regulation of dipeptide transmembrane transport
GO:0060327	cytoplasmic actin-based contraction involved in cell motility
GO:0060328	cytoplasmic actin-based contraction involved in forward cell motility
GO:0098914	membrane repolarization during atrial cardiac muscle cell action potential
GO:0060329	cytoplasmic actin-based contraction involved in rearward cell motility
GO:0098915	membrane repolarization during ventricular cardiac muscle cell action potential
GO:0098912	membrane depolarization during atrial cardiac muscle cell action potential
GO:0098913	membrane depolarization during ventricular cardiac muscle cell action potential
GO:0098910	regulation of atrial cardiac muscle cell action potential
GO:0098911	regulation of ventricular cardiac muscle cell action potential
GO:0015074	DNA integration
GO:0039016	cell-cell signaling involved in pronephros development
GO:0039017	pattern specification involved in pronephros development
GO:0039010	specification of pronephric distal tubule identity
GO:0039011	pronephric proximal tubule morphogenesis
GO:0039014	cell differentiation involved in pronephros development
GO:0039015	cell proliferation involved in pronephros development
GO:0039012	pronephric sinus development
GO:0039013	pronephric distal tubule morphogenesis
GO:0039007	pronephric nephron morphogenesis
GO:0039003	pronephric field specification
GO:0039004	specification of pronephric proximal tubule identity
GO:0015031	protein transport
GO:0040002	collagen and cuticulin-based cuticle development
GO:0040008	regulation of growth
GO:0040009	regulation of growth rate
GO:0040003	chitin-based cuticle development
GO:0040004	collagen and cuticulin-based cuticle attachment to epithelium
GO:0040005	chitin-based cuticle attachment to epithelium
GO:0040010	positive regulation of growth rate
GO:0040012	regulation of locomotion
GO:0040013	negative regulation of locomotion
GO:0040018	positive regulation of multicellular organism growth
GO:0040019	positive regulation of embryonic development
GO:0040014	regulation of multicellular organism growth
GO:0040015	negative regulation of multicellular organism growth
GO:0040016	embryonic cleavage
GO:0040017	positive regulation of locomotion
GO:0040022	feminization of hermaphroditic germ-line
GO:0040024	dauer larval development
GO:0040020	regulation of meiotic nuclear division
GO:0040025	vulval development
GO:0040026	positive regulation of vulval development
GO:0040027	negative regulation of vulval development
GO:0040028	regulation of vulval development
GO:0040032	post-embryonic body morphogenesis
GO:0040033	sRNA-mediated gene silencing
GO:0040034	regulation of development, heterochronic
GO:0040030	obsolete regulation of molecular function, epigenetic
GO:0040031	snRNA modification
GO:0040036	regulation of fibroblast growth factor receptor signaling pathway
GO:0040037	negative regulation of fibroblast growth factor receptor signaling pathway
GO:0040038	polar body extrusion after meiotic divisions
GO:0040039	inductive cell migration
GO:0040040	thermosensory behavior
GO:0030657	obsolete regulation of coenzyme and prosthetic group metabolic process
GO:0030655	beta-lactam antibiotic catabolic process
GO:0030656	regulation of vitamin metabolic process
GO:0030653	beta-lactam antibiotic metabolic process
GO:0030654	beta-lactam antibiotic biosynthetic process
GO:0015014	heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process
GO:0015015	heparan sulfate proteoglycan biosynthetic process, enzymatic modification
GO:0015010	tetrahydrocorphin metabolic process
GO:0030651	peptide antibiotic biosynthetic process
GO:0030652	peptide antibiotic catabolic process
GO:0015011	nickel-tetrapyrrole coenzyme metabolic process
GO:0015012	heparan sulfate proteoglycan biosynthetic process
GO:0015013	heparan sulfate proteoglycan biosynthetic process, linkage to polypeptide
GO:0030650	peptide antibiotic metabolic process
GO:0030648	aminoglycoside antibiotic biosynthetic process
GO:0030649	aminoglycoside antibiotic catabolic process
GO:0030647	aminoglycoside antibiotic metabolic process
GO:0030644	intracellular chloride ion homeostasis
GO:0030645	glucose catabolic process to butyrate
GO:0030642	intracellular sulfate ion homeostasis
GO:0030643	intracellular phosphate ion homeostasis
GO:0030640	polyketide catabolic process
GO:0030641	regulation of cellular pH
GO:0030637	obsolete acetate derivative catabolic process
GO:0030638	polyketide metabolic process
GO:0030635	obsolete acetate derivative metabolic process
GO:0030636	obsolete acetate derivative biosynthetic process
GO:0030633	obsolete D-alanine family amino acid catabolic process
GO:0030634	carbon fixation by acetyl-CoA pathway
GO:0030631	pyrrolysine incorporation
GO:0030632	D-alanine biosynthetic process
GO:0030639	polyketide biosynthetic process
GO:0015009	corrin metabolic process
GO:0030799	obsolete regulation of cyclic nucleotide metabolic process
GO:0030730	sequestering of triglyceride
GO:0030725	germline ring canal formation
GO:0030726	male germline ring canal formation
GO:0030723	ovarian fusome organization
GO:0030724	testicular fusome organization
GO:0030721	spectrosome organization
GO:0030720	oocyte localization involved in germarium-derived egg chamber formation
GO:0030727	germarium-derived female germ-line cyst formation
GO:0030728	ovulation
GO:0030714	anterior/posterior axis specification, follicular epithelium
GO:0030715	oocyte growth in germarium-derived egg chamber
GO:0030712	negative regulation of border follicle cell delamination
GO:0030713	follicle cell of egg chamber stalk formation
GO:0030710	regulation of border follicle cell delamination
GO:0030711	positive regulation of border follicle cell delamination
GO:0030718	germ-line stem cell population maintenance
GO:0030716	oocyte fate determination
GO:0030717	oocyte karyosome formation
GO:0030703	eggshell formation
GO:0030704	vitelline membrane formation
GO:0030709	border follicle cell delamination
GO:0030707	follicle cell of egg chamber development
GO:0030708	germarium-derived female germ-line cyst encapsulation
GO:0030705	cytoskeleton-dependent intracellular transport
GO:0030706	germarium-derived oocyte differentiation
GO:0030813	positive regulation of nucleotide catabolic process
GO:0030814	obsolete regulation of cAMP metabolic process
GO:0030811	regulation of nucleotide catabolic process
GO:0030812	negative regulation of nucleotide catabolic process
GO:0030810	positive regulation of nucleotide biosynthetic process
GO:0030815	obsolete negative regulation of cAMP metabolic process
GO:0030816	obsolete positive regulation of cAMP metabolic process
GO:0030802	obsolete regulation of cyclic nucleotide biosynthetic process
GO:0030803	obsolete negative regulation of cyclic nucleotide biosynthetic process
GO:0030800	obsolete negative regulation of cyclic nucleotide metabolic process
GO:0030801	obsolete positive regulation of cyclic nucleotide metabolic process
GO:0030808	regulation of nucleotide biosynthetic process
GO:0030809	negative regulation of nucleotide biosynthetic process
GO:0030806	obsolete negative regulation of cyclic nucleotide catabolic process
GO:0030807	obsolete positive regulation of cyclic nucleotide catabolic process
GO:0030804	obsolete positive regulation of cyclic nucleotide biosynthetic process
GO:0030805	regulation of cyclic nucleotide catabolic process
GO:0030890	positive regulation of B cell proliferation
GO:0030888	regulation of B cell proliferation
GO:0030889	negative regulation of B cell proliferation
GO:0030886	negative regulation of myeloid dendritic cell activation
GO:0030887	positive regulation of myeloid dendritic cell activation
GO:0030885	regulation of myeloid dendritic cell activation
GO:0030879	mammary gland development
GO:0030878	thyroid gland development
GO:0030866	cortical actin cytoskeleton organization
GO:0030865	cortical cytoskeleton organization
GO:0030862	positive regulation of polarized epithelial cell differentiation
GO:0030860	regulation of polarized epithelial cell differentiation
GO:0030861	negative regulation of polarized epithelial cell differentiation
GO:0030857	negative regulation of epithelial cell differentiation
GO:0030858	positive regulation of epithelial cell differentiation
GO:0030855	epithelial cell differentiation
GO:0030856	regulation of epithelial cell differentiation
GO:0030853	negative regulation of granulocyte differentiation
GO:0030854	positive regulation of granulocyte differentiation
GO:0030851	granulocyte differentiation
GO:0030852	regulation of granulocyte differentiation
GO:0030859	polarized epithelial cell differentiation
GO:0030850	prostate gland development
GO:0030847	termination of RNA polymerase II transcription, exosome-dependent
GO:0030844	positive regulation of intermediate filament depolymerization
GO:0030845	phospholipase C-inhibiting G protein-coupled receptor signaling pathway
GO:0030842	regulation of intermediate filament depolymerization
GO:0030843	negative regulation of intermediate filament depolymerization
GO:0030840	negative regulation of intermediate filament polymerization
GO:0030841	positive regulation of intermediate filament polymerization
GO:0030833	regulation of actin filament polymerization
GO:0030834	regulation of actin filament depolymerization
GO:0030831	obsolete positive regulation of cGMP catabolic process
GO:0030832	regulation of actin filament length
GO:0030830	obsolete negative regulation of cGMP catabolic process
GO:0030839	regulation of intermediate filament polymerization
GO:0030837	negative regulation of actin filament polymerization
GO:0030838	positive regulation of actin filament polymerization
GO:0030824	obsolete negative regulation of cGMP metabolic process
GO:0030825	obsolete positive regulation of cGMP metabolic process
GO:0030823	obsolete regulation of cGMP metabolic process
GO:0030820	obsolete regulation of cAMP catabolic process
GO:0030821	obsolete negative regulation of cAMP catabolic process
GO:0030828	obsolete positive regulation of cGMP biosynthetic process
GO:0030829	obsolete regulation of cGMP catabolic process
GO:0030826	obsolete regulation of cGMP biosynthetic process
GO:0030827	obsolete negative regulation of cGMP biosynthetic process
GO:0005978	glycogen biosynthetic process
GO:0005979	regulation of glycogen biosynthetic process
GO:0005976	polysaccharide metabolic process
GO:0005977	glycogen metabolic process
GO:0030939	obsolete response to long-day photoperiod
GO:0005989	lactose biosynthetic process
GO:0030923	obsolete metal incorporation into metallo-oxygen cluster
GO:0030924	obsolete manganese incorporation into metallo-oxygen cluster
GO:0030921	peptidyl-tyrosine dehydrogenation to form (Z)-2,3-didehydrotyrosine
GO:0005987	sucrose catabolic process
GO:0030922	peptidyl-tyrosine dehydrogenation to form (E)-2,3-didehydrotyrosine
GO:0005988	lactose metabolic process
GO:0005985	sucrose metabolic process
GO:0005986	sucrose biosynthetic process
GO:0030920	peptidyl-serine acetylation
GO:0005983	starch catabolic process
GO:0005984	disaccharide metabolic process
GO:0005981	regulation of glycogen catabolic process
GO:0005982	starch metabolic process
GO:0005980	glycogen catabolic process
GO:0030927	obsolete manganese incorporation into metallo-oxygen cluster via bis-L-aspartato tris-L-glutamato L-histidino calcium tetramanganese tetroxide
GO:0030925	obsolete calcium incorporation into metallo-oxygen cluster
GO:0030926	obsolete calcium incorporation into metallo-oxygen cluster via bis-L-aspartato tris-L-glutamato L-histidino calcium tetramanganese tetroxide
GO:0030912	response to deep water
GO:0030913	paranodal junction assembly
GO:0030910	olfactory placode formation
GO:0030919	peptidyl-serine O-acetylation
GO:0030916	otic vesicle formation
GO:0030917	midbrain-hindbrain boundary development
GO:0030901	midbrain development
GO:0030902	hindbrain development
GO:0030900	forebrain development
GO:0030909	non-intein-mediated protein splicing
GO:0030908	protein splicing
GO:0030903	notochord development
GO:0030999	linear element assembly
GO:0030996	obsolete mitotic cell cycle arrest in response to nitrogen starvation
GO:0030997	regulation of centriole-centriole cohesion
GO:0030994	primary cell septum disassembly
GO:0030995	cell septum edging catabolic process
GO:0030989	dynein-driven meiotic oscillatory nuclear movement
GO:0030982	adventurous gliding motility
GO:0030980	alpha-glucan catabolic process
GO:0030978	alpha-glucan metabolic process
GO:0030979	alpha-glucan biosynthetic process
GO:0030974	thiamine pyrophosphate transmembrane transport
GO:0030970	retrograde protein transport, ER to cytosol
GO:0030968	endoplasmic reticulum unfolded protein response
GO:0030965	plasma membrane electron transport, NADH to quinone
GO:0030963	peptidyl-lysine dihydroxylation to 4,5-dihydroxy-L-lysine
GO:0030961	peptidyl-arginine hydroxylation
GO:0030962	peptidyl-arginine dihydroxylation to peptidyl-3,4-dihydroxy-L-arginine
GO:0030969	obsolete mRNA splicing via endonucleolytic cleavage and ligation involved in unfolded protein response
GO:0030960	peptide cross-linking via 3'-(O4'-L-tyrosinyl)-L-tyrosine
GO:0005998	xylulose catabolic process
GO:0030954	astral microtubule nucleation
GO:0005999	xylulose biosynthetic process
GO:0030952	establishment or maintenance of cytoskeleton polarity
GO:0005996	monosaccharide metabolic process
GO:0005997	xylulose metabolic process
GO:0030953	astral microtubule organization
GO:0005994	melibiose metabolic process
GO:0030950	establishment or maintenance of actin cytoskeleton polarity
GO:0005995	melibiose catabolic process
GO:0030951	establishment or maintenance of microtubule cytoskeleton polarity
GO:0005992	trehalose biosynthetic process
GO:0005993	trehalose catabolic process
GO:0005990	lactose catabolic process
GO:0005991	trehalose metabolic process
GO:0030959	peptide cross-linking via 3'-(3'-L-tyrosinyl)-L-tyrosine
GO:0030949	positive regulation of vascular endothelial growth factor receptor signaling pathway
GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway
GO:0030948	negative regulation of vascular endothelial growth factor receptor signaling pathway
GO:1990192	collecting lymphatic vessel constriction
GO:1990194	cytoplasmic U snRNP body assembly
GO:1990155	Dsc E3 ubiquitin ligase complex assembly
GO:1990185	regulation of lymphatic vascular permeability
GO:1990134	epithelial cell apoptotic process involved in palatal shelf morphogenesis
GO:1990145	maintenance of translational fidelity
GO:1990144	intrinsic apoptotic signaling pathway in response to hypoxia
GO:1990076	cell wall polysaccharide catabolic process involved in abscission
GO:1990093	obsolete negative regulation of N-methyl-D-aspartate receptor clustering
GO:1990091	sodium-dependent self proteolysis
GO:1990048	anterograde neuronal dense core vesicle transport
GO:1990051	activation of protein kinase C activity
GO:1990068	seed dehydration
GO:1990066	energy quenching
GO:1990000	amyloid fibril formation
GO:1990001	inhibition of cysteine-type endopeptidase activity involved in apoptotic process
GO:0039579	suppression by virus of host ISG15-protein conjugation
GO:0039577	obsolete suppression by virus of host JAK1 activity by negative regulation of JAK1 phosphorylation
GO:0039578	obsolete suppression by virus of host JAK1 activity via JAK1 binding
GO:1990010	compound eye retinal cell apoptotic process
GO:0039568	obsolete suppression by virus of host STAT1 activity by inhibition of DNA binding
GO:0039569	obsolete suppression by virus of host STAT2 activity by positive regulation of STAT2 catabolic process
GO:0039566	obsolete suppression by virus of host STAT1 activity by tyrosine dephosphorylation of STAT1
GO:0039567	obsolete suppression by virus of host STAT1 activity by negative regulation of STAT protein import into nucleus
